download_count,project
14230676,"pydeequ"
14208362,"py-spy"
14184304,"cohere"
14118473,"apache-airflow-providers-http"
14104805,"twilio"
14102064,"mkdocs"
14088862,"segment-analytics-python"
14082641,"databricks-cli"
14068135,"apache-airflow-providers-google"
14027490,"google-ai-generativelanguage"
14020850,"jaydebeapi"
13966997,"av"
13966146,"async-generator"
13953122,"onnx"
13943449,"flask-wtf"
13790686,"nvidia-ml-py"
13789670,"astunparse"
13726027,"types-cffi"
13661981,"ghp-import"
13629041,"pydantic-graph"
13624742,"diff-cover"
13610155,"pyyaml-env-tag"
13572754,"avro"
13525834,"caio"
13517751,"azure-kusto-data"
13493882,"aiofile"
13439399,"configargparse"
13414336,"psycopg-pool"
13409280,"pinotdb"
13367388,"nexus-rpc"
13336949,"pyphen"
13312342,"realtime"
13298380,"apispec"
13256946,"testcontainers"
13234045,"azure-keyvault-certificates"
13209783,"thrift-sasl"
13184528,"geographiclib"
13163968,"trino"
13157241,"questionary"
13142968,"types-redis"
13133943,"azure-mgmt-msi"
13099182,"crc32c"
13025024,"prek"
12988595,"ldap3"
12957206,"weasyprint"
12935183,"geopy"
12923508,"numexpr"
12828208,"connexion"
12810503,"pycares"
12798350,"genson"
12794125,"json-repair"
12762401,"langchain-classic"
12704387,"types-paramiko"
12675499,"zopfli"
12618224,"face"
12607784,"types-deprecated"
12582464,"glom"
12574507,"mkdocs-material-extensions"
12569663,"atlassian-python-api"
12566353,"types-pyopenssl"
12539293,"opentelemetry-resourcedetector-gcp"
12527797,"aiohttp-cors"
12524806,"types-tabulate"
12500771,"fastapi-mcp"
12493336,"cachelib"
12441551,"office365-rest-python-client"
12441265,"azure-mgmt-containerregistry"
12438122,"kfp"
12438074,"langcodes"
12428801,"docker-pycreds"
12406646,"py-partiql-parser"
12403279,"datetime"
12381026,"azure-data-tables"
12299143,"ipdb"
12244257,"flask-appbuilder"
12237267,"mkdocs-get-deps"
12221627,"aiodns"
12193692,"faiss-cpu"
12162280,"langchain-anthropic"
12155871,"colorful"
12151341,"jaxlib"
12104024,"pywavelets"
12065820,"asynctest"
12038987,"meson"
12004511,"hatch-vcs"
11991636,"optuna"
11979313,"memray"
11926713,"weasel"
11902146,"pdf2image"
11894764,"openai-agents"
11865586,"opentelemetry-instrumentation-sqlalchemy"
11861836,"sphinx-rtd-theme"
11849215,"monotonic"
11841985,"azure-mgmt-cosmosdb"
11838398,"pydantic-ai"
11824586,"imbalanced-learn"
